# wavenlength / nm,    wavenumber / cm-1,  norm. absorbance
6.049561767999999802e+02,1.653012297997582891e+01,2.045996106287527403e-03
6.040671386999999868e+02,1.655445125109898541e+01,1.671653476713373361e-03
6.030296630999998797e+02,1.658293217052194635e+01,1.686886289437215152e-03
6.019918823000000430e+02,1.661151967995565570e+01,2.207080111138495261e-03
6.009538574000000608e+02,1.664021268332406223e+01,6.036597477744973239e-03
6.000639038000000482e+02,1.666489175015096080e+01,7.692175293253485178e-04
5.990253295999999636e+02,1.669378489667125365e+01,5.689664394572330197e-03
5.979865112000001091e+02,1.672278523462453492e+01,3.356377136059825097e-03
5.969473877000000357e+02,1.675189506822260910e+01,2.079153282015985902e-03
5.960564574999999650e+02,1.677693425542663519e+01,4.273781751107845993e-03
5.950167847000000165e+02,1.680624859186430342e+01,5.566327662864150108e-03
5.939768676999999570e+02,1.683567247108805276e+01,6.323677287484629622e-03
5.929366455000000542e+02,1.686520824086930048e+01,3.506311407083318246e-03
5.920448608000000377e+02,1.689061194870859950e+01,7.300809805328060433e-03
5.910040893999999980e+02,1.692035669355894711e+01,3.503846051251099415e-03
5.899630736999999954e+02,1.695021340451735625e+01,3.538809131424337524e-03
5.890705566000000317e+02,1.697589514186219617e+01,7.585742216672968982e-03
5.880290526999999656e+02,1.700596246747316798e+01,5.307334724304027702e-03
5.869872437000000218e+02,1.703614534613437570e+01,2.589766758766311790e-03
5.859451904000000013e+02,1.706644267047131791e+01,6.214674003844442886e-03
5.850517578000000185e+02,1.709250483684300193e+01,5.956308921001341600e-03
5.840091552999999749e+02,1.712301923565409467e+01,4.767878381170745708e-03
5.829662475999999742e+02,1.715365176143346915e+01,5.003292223531599810e-03
5.820721436000000040e+02,1.718000098433159195e+01,6.113523705711564754e-03
5.810288086000000476e+02,1.721085056710903771e+01,5.348817035246463368e-03
5.799851073999999471e+02,1.724182202682537479e+01,6.568609671772495696e-03
5.789412231000000020e+02,1.727291061854945653e+01,6.690408735698837907e-03
5.780462036000001262e+02,1.729965517932864216e+01,6.061043588654082409e-03
5.770017699999999650e+02,1.733096936600385263e+01,2.750425940379126917e-03
5.759570313000001534e+02,1.736240631949378255e+01,4.181650025227837478e-03
5.750614014000000225e+02,1.738944741492781887e+01,2.848796703540242350e-03
5.740161742999999888e+02,1.742111189148072015e+01,5.636517149297257459e-03
5.729707031000000370e+02,1.745289932957481227e+01,6.472832653913538313e-03
5.720743407999999590e+02,1.748024563733413572e+01,5.697288793920056438e-03
5.710283812999999782e+02,1.751226441185647786e+01,4.408284454328638240e-03
5.699821167000000059e+02,1.754441009113856609e+01,5.379312618929129111e-03
5.689356079000000364e+02,1.757668154558128393e+01,5.418105269604748565e-03
5.680383301000001666e+02,1.760444580956280447e+01,5.753352272778288444e-03
5.669913330000000542e+02,1.763695389678910530e+01,3.834439517415928495e-03
5.659440307999999504e+02,1.766959178960564003e+01,3.515948772501154701e-03
5.650461426000000529e+02,1.769766970532009509e+01,6.325695792982379516e-03
5.639983521000000337e+02,1.773054825916750943e+01,6.731906655475085842e-03
5.629503174000000172e+02,1.776355690886763838e+01,4.851504594440553611e-03
5.620517578000000185e+02,1.779195574290578108e+01,4.898363207949253499e-03
5.610032349000000522e+02,1.782520915727432609e+01,1.742441869212629129e-03
5.599544067000000496e+02,1.785859684350618437e+01,4.724384613574380415e-03
5.590552367999999888e+02,1.788732014610832621e+01,1.854675691864780818e-03
5.580059204000000364e+02,1.792095681141092101e+01,8.940253050015865149e-03
5.569563599000000522e+02,1.795472808999877756e+01,6.608311631085869720e-03
5.560565186000000040e+02,1.798378342039276134e+01,4.610271375746904064e-03
5.550064697000000251e+02,1.801780798232017489e+01,6.871208153440983186e-03
5.539561767999999802e+02,1.805196948568441329e+01,5.516097154599296226e-03
5.530557251000000178e+02,1.808136060465130157e+01,5.825563285271498012e-03
5.520049437999999782e+02,1.811577978117376375e+01,5.815247210218731262e-03
5.509538573999999471e+02,1.815034029744502675e+01,5.729132732590536473e-03
5.500527343999999630e+02,1.818007506299926845e+01,5.547715528537542663e-03
5.490012206999999762e+02,1.821489574695220881e+01,5.667911972211505181e-03
5.479494018999999980e+02,1.824986023403851831e+01,8.536047603052380334e-03
5.470476684999999861e+02,1.827994263721096502e+01,7.884159689907200771e-03
5.459953613000000132e+02,1.831517391684477758e+01,6.875694279327721446e-03
5.449428711000000476e+02,1.835054742493354851e+01,5.619249845969052394e-03
5.440404663000000482e+02,1.838098564250127609e+01,4.921905045356191749e-03
5.429874878000000535e+02,1.841663063087620245e+01,4.726626669231135183e-03
5.419342040999999881e+02,1.845242452745196715e+01,6.894313462498150025e-03
5.410311890000000403e+02,1.848322278514704919e+01,5.632928752360924149e-03
5.399774169999999458e+02,1.851929300221086905e+01,8.027093892445583481e-03
5.390740356000000020e+02,1.855032767228308899e+01,6.254147880425292398e-03
5.380198364000000311e+02,1.858667529233128235e+01,7.329077431041612807e-03
5.369653319999999894e+02,1.862317621652341515e+01,4.328030135814985198e-03
5.360613402999999835e+02,1.865458157158586872e+01,6.172508954985609850e-03
5.350063476999999921e+02,1.869136701459738603e+01,6.079433683102863743e-03
5.339511718999999630e+02,1.872830424627821699e+01,6.659004849367540328e-03
5.330465087999999696e+02,1.876008910087809767e+01,5.406893480174806456e-03
5.319908447000000251e+02,1.879731596817083172e+01,5.945319675741282499e-03
5.309349365000000489e+02,1.883469953196421187e+01,5.894636024303722202e-03
5.300296630999999934e+02,1.886686858526503485e+01,6.241139627105419391e-03
5.289733275999999478e+02,1.890454485743337543e+01,6.848551457577986383e-03
5.280676270000000159e+02,1.893696846521515553e+01,7.675040785679477368e-03
5.270108032000000549e+02,1.897494309277946556e+01,6.201217138195393684e-03
5.259537354000000278e+02,1.901307914924259990e+01,6.814903501881699154e-03
5.250474242999999888e+02,1.904589859350729952e+01,7.460324546726775780e-03
5.239899292000000059e+02,1.908433624910972881e+01,6.899472758592181502e-03
5.229321288999999524e+02,1.912294052582929993e+01,8.252614091280795552e-03
5.220252074999999650e+02,1.915616306708713878e+01,6.497505840701053685e-03
5.209669800000000350e+02,1.919507451316779978e+01,7.600101846408006782e-03
5.200596924000000172e+02,1.922856192498105443e+01,7.801138675541777895e-03
5.190009765999999445e+02,1.926778647992239968e+01,7.558818415103702414e-03
5.179420165999999881e+02,1.930718049414954507e+01,6.870759541111807860e-03
5.170341796999999815e+02,1.934108109796981978e+01,8.018567233303923805e-03
5.159747313999999960e+02,1.938079404172930964e+01,6.874572999353318649e-03
5.150665282999999590e+02,1.941496768001105622e+01,6.230149878418299834e-03
5.140066527999999835e+02,1.945500110849927111e+01,6.053418182452239595e-03
5.129465331999999762e+02,1.949520925234708457e+01,5.345677754931357946e-03
5.120376586999999518e+02,1.952981354025553173e+01,7.524491247210419141e-03
5.109771423000000823e+02,1.957034703154861432e+01,8.603150172504472892e-03
5.100679015999999706e+02,1.960523288885975290e+01,4.719676446944820469e-03
5.090068970000000377e+02,1.964609921582260910e+01,6.980230066477335384e-03
5.079456482000000506e+02,1.968714573190431238e+01,7.236198017369649231e-03
5.070358276000000046e+02,1.972247217190535196e+01,7.579235572445239787e-03
5.059741516000000274e+02,1.976385546253268188e+01,6.759721640577995815e-03
5.050639343000000849e+02,1.979947353370149088e+01,6.334667540463801740e-03
5.040018310999999471e+02,1.984119775552141007e+01,7.050669789893541060e-03
