# wavenlength / nm,    wavenumber / 10^3 cm-1,  extinction coefficient / M-1 s-1
5.110000000000000000e+02,1.956947162426614284e+01,6.569853780346819860e+01
5.100000000000000000e+02,1.960784313725490335e+01,6.844079649325625780e+01
5.090000000000000000e+02,1.964636542239685468e+01,6.920336843930634529e+01
5.080000000000000000e+02,1.968503937007874072e+01,7.059019568400771050e+01
5.070000000000000000e+02,1.972386587771203281e+01,7.169921963391136899e+01
5.060000000000000000e+02,1.976284584980237113e+01,7.289541105973025026e+01
5.050000000000000000e+02,1.980198019801980180e+01,7.431171044315992447e+01
5.040000000000000000e+02,1.984126984126984183e+01,7.407288990366087944e+01
5.030000000000000000e+02,1.988071570576540381e+01,7.412084495183043487e+01
5.020000000000000000e+02,1.992031872509960166e+01,7.357099497109825847e+01
5.010000000000000000e+02,1.996007984031935933e+01,7.285683026974950849e+01
5.000000000000000000e+02,2.000000000000000000e+01,7.217459969171483181e+01
4.990000000000000000e+02,2.004008016032063821e+01,7.066704146435451150e+01
4.980000000000000000e+02,2.008032128514055970e+01,6.940796512524083539e+01
4.970000000000000000e+02,2.012072434607646088e+01,6.764868780346820643e+01
4.960000000000000000e+02,2.016129032258064413e+01,6.734413275529864507e+01
4.950000000000000000e+02,2.020202020202020066e+01,6.663839481695568168e+01
4.940000000000000000e+02,2.024291497975708509e+01,6.684965969171483380e+01
4.930000000000000000e+02,2.028397565922920975e+01,6.691978703275529483e+01
4.920000000000000000e+02,2.032520325203252298e+01,6.718046402697494557e+01
4.910000000000000000e+02,2.036659877800407159e+01,6.837708612716762957e+01
4.900000000000000000e+02,2.040816326530612557e+01,7.046718215799614882e+01
4.890000000000000000e+02,2.044989775051124781e+01,7.297432404624275648e+01
4.880000000000000000e+02,2.049180327868852558e+01,7.765648998073217513e+01
4.870000000000000000e+02,2.053388090349076123e+01,8.348694971098264261e+01
4.860000000000000000e+02,2.057613168724279973e+01,9.021746543352601577e+01
4.850000000000000000e+02,2.061855670103092919e+01,9.557191346820808064e+01
4.840000000000000000e+02,2.066115702479338978e+01,9.820303073217725398e+01
4.830000000000000000e+02,2.070393374741200887e+01,9.433143487475913957e+01
4.820000000000000000e+02,2.074688796680498015e+01,8.820951961464353985e+01
4.810000000000000000e+02,2.079002079002079029e+01,8.511845460500963156e+01
4.800000000000000000e+02,2.083333333333333215e+01,8.599101233140653733e+01
4.790000000000000000e+02,2.087682672233820114e+01,9.197133067437378884e+01
4.780000000000000000e+02,2.092050209205020650e+01,1.008012663969171427e+02
4.770000000000000000e+02,2.096436058700209770e+01,1.092305144894026796e+02
4.760000000000000000e+02,2.100840336134453779e+01,1.151973169942196478e+02
4.750000000000000000e+02,2.105263157894736636e+01,1.198115448169556743e+02
4.740000000000000000e+02,2.109704641350210963e+01,1.267754761657032816e+02
4.730000000000000000e+02,2.114164904862579419e+01,1.386818915606936287e+02
4.720000000000000000e+02,2.118644067796610031e+01,1.586147930443159737e+02
4.710000000000000000e+02,2.123142250530785446e+01,1.884742365317918882e+02
4.700000000000000000e+02,2.127659574468085069e+01,2.326053030828516057e+02
4.690000000000000000e+02,2.132196162046908228e+01,2.977423986512523584e+02
4.680000000000000000e+02,2.136752136752136977e+01,3.857299369942196563e+02
4.670000000000000000e+02,2.141327623126338509e+01,5.022443558766859155e+02
4.660000000000000000e+02,2.145922746781115720e+01,6.359236778420037126e+02
4.650000000000000000e+02,2.150537634408602017e+01,7.725678427745664294e+02
4.640000000000000000e+02,2.155172413793103559e+01,9.012617358381502299e+02
4.630000000000000000e+02,2.159827213822894265e+01,1.040782198073217614e+03
4.620000000000000000e+02,2.164502164502164661e+01,1.237209132562620425e+03
4.610000000000000000e+02,2.169197396963123836e+01,1.510421320231213713e+03
4.600000000000000000e+02,2.173913043478260931e+01,1.835622309633911300e+03
4.590000000000000000e+02,2.178649237472767197e+01,2.159127610789980281e+03
4.580000000000000000e+02,2.183406113537117932e+01,2.450083032755298518e+03
4.570000000000000000e+02,2.188183807439824946e+01,2.703602603082851601e+03
4.560000000000000000e+02,2.192982456140350678e+01,2.847089703275529700e+03
4.550000000000000000e+02,2.197802197802197810e+01,2.802004244701348398e+03
4.540000000000000000e+02,2.202643171806167643e+01,2.591985728323699277e+03
4.530000000000000000e+02,2.207505518763796815e+01,2.316372703275529602e+03
4.520000000000000000e+02,2.212389380530973426e+01,2.047227986512524012e+03
4.510000000000000000e+02,2.217294900221729392e+01,1.818580089980732055e+03
4.500000000000000000e+02,2.222222222222222143e+01,1.638281781695568270e+03
4.490000000000000000e+02,2.227171492204899650e+01,1.480919892100192556e+03
4.480000000000000000e+02,2.232142857142856940e+01,1.321565438728323670e+03
4.470000000000000000e+02,2.237136465324384815e+01,1.151136465317918919e+03
4.460000000000000000e+02,2.242152466367712904e+01,9.808411716763005188e+02
4.450000000000000000e+02,2.247191011235955216e+01,8.336668529865124810e+02
4.440000000000000000e+02,2.252252252252252163e+01,7.267689658959536700e+02
4.430000000000000000e+02,2.257336343115123967e+01,6.592901341040461602e+02
4.420000000000000000e+02,2.262443438914027283e+01,6.233469254335259393e+02
4.410000000000000000e+02,2.267573696145124629e+01,6.087744512524084257e+02
4.400000000000000000e+02,2.272727272727272663e+01,6.109798803468207780e+02
4.390000000000000000e+02,2.277904328018223268e+01,6.324763701348747418e+02
4.380000000000000000e+02,2.283105022831050235e+01,6.809773242774565460e+02
4.370000000000000000e+02,2.288329519450800831e+01,7.581829105973024525e+02
4.360000000000000000e+02,2.293577981651376163e+01,8.592859973025047111e+02
4.350000000000000000e+02,2.298850574712643535e+01,9.824246570327552490e+02
4.340000000000000000e+02,2.304147465437787901e+01,1.123171321194604843e+03
4.330000000000000000e+02,2.309468822170900637e+01,1.274885929094412177e+03
4.320000000000000000e+02,2.314814814814814525e+01,1.417452544894026914e+03
4.310000000000000000e+02,2.320185614849187772e+01,1.531615767244701374e+03
4.300000000000000000e+02,2.325581395348837077e+01,1.612413365895953575e+03
4.290000000000000000e+02,2.331002331002331118e+01,1.655899031406551103e+03
4.280000000000000000e+02,2.336448598130840892e+01,1.652116261078997923e+03
4.270000000000000000e+02,2.341920374707260066e+01,1.599643960886319746e+03
4.260000000000000000e+02,2.347417840375586806e+01,1.512144227552986194e+03
4.250000000000000000e+02,2.352941176470588047e+01,1.401884822350674085e+03
4.240000000000000000e+02,2.358490566037735903e+01,1.273899983429672375e+03
4.230000000000000000e+02,2.364066193853427933e+01,1.133660705009633830e+03
4.220000000000000000e+02,2.369668246445497672e+01,9.916145678227359213e+02
4.210000000000000000e+02,2.375296912114014347e+01,8.593287196531791778e+02
4.200000000000000000e+02,2.380952380952381020e+01,7.440586196531791074e+02
4.190000000000000000e+02,2.386634844868735073e+01,6.479888522157996249e+02
4.180000000000000000e+02,2.392344497607655285e+01,5.727915061657032538e+02
4.170000000000000000e+02,2.398081534772182266e+01,5.139641335260114374e+02
