# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
5.120000000000000000e+02,1.953125000000000000e+01,1.492318349955999558e-06,3.912023015308655483e-01
5.125000000000000000e+02,1.951219512195121908e+01,1.462779417112783472e-06,3.842081562760295554e-01
5.130000000000000000e+02,1.949317738791422983e+01,1.436701886145834728e-06,3.780953986751131590e-01
5.135000000000000000e+02,1.947419668938656301e+01,1.393246714625368558e-06,3.673744285175251090e-01
5.140000000000000000e+02,1.945525291828793613e+01,1.381748306074972942e-06,3.650523754717835412e-01
5.145000000000000000e+02,1.943634596695821060e+01,1.332826931085712470e-06,3.528129501344317021e-01
5.150000000000000000e+02,1.941747572815533829e+01,1.315330770329783332e-06,3.488586035607167957e-01
5.155000000000000000e+02,1.939864209505334713e+01,1.294936158852378109e-06,3.441166585874706474e-01
5.160000000000000000e+02,1.937984496124030898e+01,1.260744924270708097e-06,3.356809005566216420e-01
5.165000000000000000e+02,1.936108422071636070e+01,1.231874897560121826e-06,3.286300381406331850e-01
5.170000000000000000e+02,1.934235976789168276e+01,1.237715284734718695e-06,3.308276807414582410e-01
5.175000000000000000e+02,1.932367149758454161e+01,1.185619172012111101e-06,3.175162243846684218e-01
5.180000000000000000e+02,1.930501930501930374e+01,1.163688091651074704e-06,3.122454435041829846e-01
5.185000000000000000e+02,1.928640308582449236e+01,1.137502940754375575e-06,3.058088499740230226e-01
5.190000000000000000e+02,1.926782273603082984e+01,1.133566773130946316e-06,3.053386795773248563e-01
5.195000000000000000e+02,1.924927815206929793e+01,1.092512913185360944e-06,2.948476581386935136e-01
5.200000000000000000e+02,1.923076923076922995e+01,1.099369691443234839e-06,2.972695645662506991e-01
5.205000000000000000e+02,1.921229586935638878e+01,1.054044073778813217e-06,2.855618839791745356e-01
5.210000000000000000e+02,1.919385796545105549e+01,1.029966564471494889e-06,2.795751542267070344e-01
5.215000000000000000e+02,1.917545541706615708e+01,1.022312783242921040e-06,2.780304847345070884e-01
5.220000000000000000e+02,1.915708812260536575e+01,9.970728874988540832e-07,2.716864086772377562e-01
5.225000000000000000e+02,1.913875598086124441e+01,9.871133542487909341e-07,2.694881151683840015e-01
5.230000000000000000e+02,1.912045889101338503e+01,9.717162783294817544e-07,2.657925818951847874e-01
5.235000000000000000e+02,1.910219675262655059e+01,9.421594927053096949e-07,2.582009288347487108e-01
5.240000000000000000e+02,1.908396946564885610e+01,9.098799871505652924e-07,2.498312073518536014e-01
5.245000000000000000e+02,1.906577693040991406e+01,9.307824130271074818e-07,2.560584745193605349e-01
5.250000000000000000e+02,1.904761904761904745e+01,9.004028176989558557e-07,2.481735266282747154e-01
5.255000000000000000e+02,1.902949571836346365e+01,8.852054872051044862e-07,2.444497165930614169e-01
5.260000000000000000e+02,1.901140684410646386e+01,8.566277002062152364e-07,2.370083255822548196e-01
5.265000000000000000e+02,1.899335232668565965e+01,8.534171706446990961e-07,2.365691598913445270e-01
