\hline 1810	di-n-butylamine	24.1	[1]	0.946	[1]	1.70	[2]			0.1334	[2]
\hline 1820	pyrrole	37.1	[1]	1.233	[1]	1.88	[2]			0.1641	[2]
\hline 1830	pyrrolidine	29.2		0.702	_1]	1.51				0.1592	
\hline 1840	piperidine	29.4	{$[1]$}	1.362	[1]	1.70	[2]	0.97	[o]	0.1789	[2]
\hline 1850	morpholine	36.9	{$[1]$}	2.011	[1]	2.19	[2]			0.1643	[2]
\hline 1860	triethylamine	20.1	[1]	0.363	[1]	1.03	[2]	2.97	[o]	0.1187	[2]
\hline 1870	tri-n-butylamine	24.3	[1]	1.313	[1]	1.85	[2]			0.1204	[2]
\hline 1880	aniline	42.8	{$[1]$}	3.77	[1]	3.36	[2]	0.62	{$[\mathrm{u}]$}	0.1722	[2]
\hline 1890	o-chloroaniline	43.1	{$[1]$}	2.916	{$[1] \mathrm{a}$}	2.34	[2]	0.72	{$[\mathrm{u}]$}	0.1523	[2]
\hline 1900	N-methylaniline	39.7	[1]	2.01	{$[1]$}	2.41	[2]			0.1577	[2]
\hline 1910	"N,N-dimethylaniline"	25.6	[1]	1.288	[1]	1.55	[2]			0.1419	[2]
\hline 1920	ethanolamine	48.3	[1]	19.346	[1]	4.14	[2]	0.05	[cc]	0.2366	[2]
\hline 1930	diethanolamine	49.0	{$[2]$}	351.9	{$[1] \mathrm{b}$}	7.64	[2]				
\hline 1940	triethanolamine	45.2	{$[2]$}	613.6	[1]	7.78	[2]			0.1964	[2]
\hline 1950	pyridine	36.3	[1]	0.884	[1]	1.53	[2]	1.49	[o]	0.1624	[2]
\hline 1960	2-methylpyridine	32.8	{$[1]$}	0.753	[1]	1.33	[2]			0.1465	[2]
\hline 1970	3-methylpyridine	34.5	{$[1]$}	0.872	[1]	1.35	[2]			0.1368	[2]
\hline 1980	4-methylpyridine	35.5	{$[1]$}	0.866	[2]	1.45	[2]			0.1388	[2]
\hline 1990	"2,4-dimethylpyridine"	33.2	{$[1]$}	0.887	{$[1] \mathrm{a}$}		[2]				
\hline 2000	"2,6-dimethylpyridine"	31.0	{$[1]$}	0.869	{$[1] \mathrm{a}$}	1.37	[2]			0.1302	[2]
\hline 2010	"2,4,6-trimethylpyridine"	31.8	{$[2]$}	0.806	{$[\mathrm{e}]$}	2.35	[2]			0.1463	[2]
\hline 2020	2-bromopyridine										
\hline 2030	3-bromopyridine										
\hline 2040	2-cyanopyridine										
\hline 2050	pyrimidine	30.3	[2]							0.1521	{$[2]$}
\hline 2060	quinoline	45.2	{$[1]$}	3.145	[1]	2.56	[2]			0.1492	[2]
\hline 2070	acetonitrile	28.3	[1]	0.341	[1]	0.96	[2]	4.85	[j]	0.1877	[2]
\hline 2080	propionitrile	26.7	[1]	0.405	[1]	1.06	[2]			0.1677	[2]
\hline 2090	butyronitrile	26.8	[1]	0.549	[1]	1.18	[2]			0.1673	[2]
\hline 2100	valeronitrile	27.0	[2]	0.692	[2]	1.24	[2]			0.1650	{$[2]$}
\hline 2110	acrylonitrile	26.7	[2]	0.339	[2]	0.91	[2]			0.1651	{$[2]$}
\hline 2120	benzyl cyanide	40.8	[1]	1.961	[1]	1.78	[2]			0.1245	{$[2]$}
\hline 2130	benzonitrile	38.5	[1]	1.237	[1]	1.51	[2]			0.1485	[2]
\hline 2140	nitromethane	36.3	_1]	0.614	$\lceil 1\rceil$	1.17	_2]	2.11	$\lceil 4\rceil$	0.2068	$\lceil 2\rceil$
\hline 2150	nitroethane	32.1	[1]	0.638	[1]	1.16	[2]			0.1631	[2]
\hline 2160	1-nitropropane	30.1	[1]	0.791	[1]	1.35	[2]			0.1542	[2]
\hline 2170	2-nitropropane	29.3	[1]	0.721	[1]	1.21	[2]			0.1408	[2]
\hline 2180	nitrobenzene	42.4	[1]	1.784	[1]	1.80	[2]			0.1480	[2]
\hline 2190	formamide	58.2	{$[1]$}	3.302	{$[1]$}	2.62	[2]			0.3529	[2]
\hline 2200	N-methylformamide	39.5	[1]	1.65	[1]	1.58	[2]	0.85	{$[\mathrm{p}]$}	0.2127	[2]
\hline 2210	"N,N-dimethylformamide"	36.4	{$[1]$}	0.802	{$[1]$}	1.22	[2]	1.61	[p]	0.1840	[2]
\hline 2220	"N,N-dimethylthioformamide"	45.4	[b]	1.98	[b]						
\hline 2230	"N,N-diethylformamide"			1.254	[d]						
\hline 2240	"N,N-methylacetamide"	32.9	[1]	3.65	{$[1] \mathrm{b}$}	2.08	[2]				
\hline 2250	"N,N-dimethylacetamide"	31.7	$\lceil 1\rceil$	0.927	$\lceil 1\rceil$	1.19	$\lceil 2\rceil$			0.1672	$\lceil 2\rceil$
\hline 2260	"N,N-diethyl acetamide"										
