\hline 0	vacuum	0.00	j	1.00	j	0.00	j	1.0000		j		$0.00 \mathrm{E}+00$	j	0.0	j
\hline 1310	methyl propanoate	1.70	[2]	6.23	[4]			1.3742		[2]	8.8			54.1	[3]
\hline 1320	ethyl propanoate	1.74	{$[1] \mathrm{a}$}	5.65	{$[1] \mathrm{a}$}	7.30	{$[\mathrm{~m}]$}	1.3814	0.460	[1]	10.6			65.8	[3]
\hline 1330	dimethyl carbonate	0.87		3.17				1.3690		$\lceil 4\rceil$	7.5				
\hline 1340	diethyl carbonate	0.90	[1]	2.82	{$[1] \mathrm{a}$}			1.3829	0.390	[1]	11.3	$9.10 \mathrm{E}-08$	[1]	75.4	[3]
\hline 1350	ethylene carbonate	4.87	[1]	89.78	{$[1] \mathrm{d}$}	4.55	{$[\mathrm{n}]$}	1.419	0.370	{$[1] \mathrm{d}$}	6.6	$1.00 \mathrm{E}-06$	[1]		
\hline 1360	propylene carbonate	4.94	{$[4]$}	64.92	[1]	3.63	{$[\mathrm{n}]$}	1.419	0.375	[1]	8.6	$2.00 \mathrm{E}-06$	[1]	54.5	{$[\mathrm{r}]$}
\hline 1370	diethyl malonate	2.54	[1]	7.87	[1]	8.80	{$[\mathrm{~m}]$}	1.413	0.390	[2]	15.1			93.3	[3]
\hline 1380	methyl benzoate	1.94	[1]	6.59	{$[1] \mathrm{a}$}	3.20	{$[\mathrm{~m}]$}	1.514	0.460	[1]	15.0	$1.37 \mathrm{E}-03$	{$[1] \mathrm{a}$}	81.6	[3]
\hline 1390	ethyl benzoate	1.99	[1]	6.02	{$[1] \mathrm{a}$}	8.10	{$[\mathrm{~m}]$}	1.503	0.400	{$[1]$}	16.9	$1.00 \mathrm{E}-07$	[1]	93.3	[3]
\hline 1400	dimethyl phthalate	2.66	{$[c]$}	8.50	[3]			1.516		{$[4]$}	19.5				
\hline 1410	dibutyl phthalate	2.82	{$[1] \mathrm{a}$}	6.44	{$[1] \mathrm{b}$}	7.10	{$[\mathrm{~m}]$}	1.490	0.500	[1]	30.6	$4.20 \mathrm{E}-06$	{$[1] \mathrm{b}$}	175.1	[3]
\hline 1420	ethyl chloroacetate	2.63	[4]	12.78	{$[4]$}			1.421		{$[4]$}	9.8			72.3	[3]
\hline 1430	ethyl trichloroacetate	2.54	[4]	9.03	[4]	7.10	{$[\mathrm{~m}]$}	1.450		[4]	14.7			99.5	[3]
\hline 1440	ethyl acetoacetate	2.93	[4]	16.55	{$[4]$}			1.419		[4]	12.8				
\hline 1450	4-butyrolactone	4.12	[1]	39.00	{$[1] \mathrm{a}$}	3.17	{$[\mathrm{p}]$}	1.434		[1]	7.9				
\hline 1460	perfluoro-n-hexane			1.57	[c]			1.251		[h]	12.7				
\hline 1470	perfluoro-n-heptane			1.77	{$[\mathrm{~h}]$}			1.262		[h]	14.7				
\hline 1480	perfluoromethylcyclohexane	0.00	[d]	1.85	[h]	1.13	{$[\mathrm{v}]$}	1.278		[h]	13.5				
\hline 1490	perfluoro-decalin	0.15	[d]	1.98	[d]			1.313		[h]	18.3				
\hline 1500	fluorobenzene	1.48	[1]	5.42	[1]			1.462	0.500	[2]	10.4			58.3	[3]
\hline 1510	hexafluorobenzene	0.00	[1]	2.05	[c]			1.374	0.558	[1]	10.5				
