Wavelength,S1 / R1,S1/R1c,S1c / R1,S1c / R1c,S1,R1
nm,Undefined / MicroAmps, ,Undefined / MicroAmps,Undefined / MicroAmps,CPS,MicroAmps
469.5,4300.50778307362,3550.09901904215,5371.66807192298,4434.34927098872,46952.5,10.9179019493585
470,4259.99463324997,3516.65513271475,5343.26278101422,4410.90050622013,46527.5,10.9219256218976
470.5,4165.31941081065,3438.50007957606,5248.28502918977,4332.49571297457,45476.5,10.9179203484066
471,4139.48240830983,3417.17145471131,5239.45822638102,4325.20912600083,45210.5,10.9216948205029
471.5,4052.45124747345,3345.32662747313,5152.43063415728,4253.36724467715,44246,10.9183298912587
472,4007.61550574612,3308.31441153187,5118.3604515364,4225.24207248772,43749.5,10.916578685791
472.5,3915.00970404658,3231.86767957498,5022.41837706604,4146.04122420587,42756,10.9209688439307
473,3810.21465555665,3145.35863980324,4909.67948560452,4052.97448693342,41593.5,10.9163208854946
473.5,3743.03569721409,3089.9019434915,4844.49014846559,3999.1602367326,40871,10.9192173363389
474,3673.84308339507,3032.78296060983,4775.90518878754,3942.54287656122,40113,10.9184906090343
474.5,3594.30835902539,2967.12649369774,4693.003080895,3874.10661118246,39244,10.9183532311028
475,3501.60536986884,2890.59953282064,4591.89379402738,3790.64019320792,38231.5,10.9182677879864
475.5,3432.82649392357,2833.82209342495,4521.10821540876,3732.20620682953,37479,10.9178353203293
476,3362.26658596625,2775.57439974354,4447.18072598092,3671.1785512743,36714.5,10.9195532677399
476.5,3265.28071141474,2695.51188725108,4337.29197770853,3580.46462698353,35651,10.9182107384251
477,3176.10395045907,2621.89585222468,4236.72946964733,3497.44957870815,34666,10.9145805503884
477.5,3084.91903567624,2546.62207227801,4132.46165086389,3411.37577071792,33688,10.9201592675039
478,3022.90745455391,2495.43108172148,4066.46061498922,3356.89145757782,33014.5,10.9213826348298
478.5,2956.25769541439,2440.41124302431,3993.47336993247,3296.63998027591,32274,10.9171793938069
479,2886.87510009408,2383.13542909492,3916.01414171446,3232.69684984028,31510,10.9149377739039
479.5,2783.68181578488,2297.9486567701,3791.63295698326,3130.01931868001,30397,10.9197102745779
480,2710.91133633979,2237.87612098489,3707.75751459839,3060.77955892321,29598,10.9181229546105
480.5,2630.19931030973,2171.24778338206,3609.71597285524,2979.84558583807,28718.5,10.9187785942677
481,2598.2905549633,2144.90688440728,3578.2321532795,2953.8554742909,28337,10.9059956412161
481.5,2482.54724197977,2049.35997631871,3430.38153427038,2831.80376226402,27093,10.9133460624568
482,2428.65798797847,2004.87402316687,3367.3578097596,2779.77724031638,26511,10.9159237419346
482.5,2395.58567693646,1977.57260089069,3332.83951465508,2751.28214816194,26153.5,10.917350060313
483,2311.96407047214,1908.54238444784,3227.28976059306,2664.15009370303,25238.5,10.9164643974594
483.5,2261.36754945575,1866.77460522554,3167.29923108156,2614.62749527667,24691,10.9185743004417
484,2195.43733974439,1812.34875957476,3085.22376175343,2546.87362576943,23961.5,10.9142410392754
484.5,2156.43149221273,1780.14916174957,3040.57184583356,2510.01315930792,23537,10.9148113334725
485,2116.43873430279,1747.13486255828,2994.1499924074,2471.69159715217,23110,10.9192737328241
485.5,2040.79881165171,1684.69358149353,2897.72537236718,2392.0924041537,22287,10.9207008477113
486,1999.52339907879,1650.62044197675,2849.59098444035,2352.35713288323,21838,10.9215126366626
486.5,1981.69998232398,1635.90708775698,2834.64317215937,2340.01761011236,21632,10.9158812004301
487,1925.27051998172,1589.32417499147,2763.94445516284,2281.65532860579,21020.5,10.9182110558079
487.5,1864.26488447556,1538.96359952202,2686.0321873788,2217.33821086445,20353,10.9174357597771
488,1847.37311198076,1525.01932410419,2671.43270725874,2205.28623870974,20163.5,10.9146943687493
488.5,1820.53083052359,1502.86083448466,2642.17694374898,2181.13540290702,19877.5,10.9184987633313
489,1758.97908991339,1452.04944546203,2561.93696192036,2114.89674106831,19207.5,10.9196798607592
489.5,1733.34667039134,1430.88970526598,2533.69279967971,2091.58098913342,18919,10.9146302391097
490,1703.31628637291,1406.09941485774,2498.707843706,2062.70066519299,18589,10.9133861808656
