# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
5.260000000000000000e+02,1.901140684410646386e+01,3.107725899485022020e-06,8.598331709659179367e-01
5.270000000000000000e+02,1.897533206831119656e+01,3.066665836040065036e-06,8.517020359775712146e-01
5.280000000000000000e+02,1.893939393939393767e+01,3.048439605327303161e-06,8.498561869315668371e-01
5.290000000000000000e+02,1.890359168241965904e+01,2.983673823759082479e-06,8.349542665145653908e-01
5.300000000000000000e+02,1.886792452830188793e+01,2.934820052143815336e-06,8.243909526471977500e-01
5.310000000000000000e+02,1.883239171374764709e+01,2.903129446213170326e-06,8.185692817837116886e-01
5.320000000000000000e+02,1.879699248120300581e+01,2.855800158372482930e-06,8.082599840232136401e-01
5.330000000000000000e+02,1.876172607879924925e+01,2.796375036238108687e-06,7.944193876698480983e-01
5.340000000000000000e+02,1.872659176029962680e+01,2.780410698125161550e-06,7.928507930345786159e-01
5.350000000000000000e+02,1.869158878504672927e+01,2.716141756097558699e-06,7.774276741390236944e-01
5.360000000000000000e+02,1.865671641791044877e+01,2.673738875713561314e-06,7.681544840370033711e-01
5.370000000000000000e+02,1.862197392923649986e+01,2.628464724598452339e-06,7.579677441677310501e-01
5.380000000000000000e+02,1.858736059479553759e+01,2.592835526393389092e-06,7.504806861014080566e-01
5.390000000000000000e+02,1.855287569573283690e+01,2.553136824914128463e-06,7.417398635108775062e-01
5.400000000000000000e+02,1.851851851851851904e+01,2.482393061286211449e-06,7.238658166710592035e-01
5.410000000000000000e+02,1.848428835489833588e+01,2.452446669386704641e-06,7.177845436427701120e-01
5.420000000000000000e+02,1.845018450184501901e+01,2.409469759575818571e-06,7.078154744520307462e-01
5.430000000000000000e+02,1.841620626151012985e+01,2.363863446591037249e-06,6.969827733639207823e-01
5.440000000000000000e+02,1.838235294117647101e+01,2.331824372054209853e-06,6.900707773682346335e-01
5.450000000000000000e+02,1.834862385321100930e+01,2.273797423109194632e-06,6.753746795990085428e-01
5.460000000000000000e+02,1.831501831501831390e+01,2.268181591240416299e-06,6.761812232542279144e-01
5.470000000000000000e+02,1.828153564899451666e+01,2.217801860560396724e-06,6.635862768964156944e-01
5.480000000000000000e+02,1.824817518248175219e+01,2.161635672714028442e-06,6.491478390587135383e-01
5.490000000000000000e+02,1.821493624772313424e+01,2.123612522370454715e-06,6.400589378549774722e-01
5.500000000000000000e+02,1.818181818181818343e+01,2.090884030859472950e-06,6.324924193349905632e-01
5.510000000000000000e+02,1.814882032667876643e+01,2.031911558735628820e-06,6.168903811436956541e-01
5.520000000000000000e+02,1.811594202898550776e+01,1.998211352219574106e-06,6.088629918667131102e-01
5.530000000000000000e+02,1.808318264014466692e+01,1.955743789241674694e-06,5.980840524442072592e-01
5.540000000000000000e+02,1.805054151624548808e+01,1.937150085371846136e-06,5.945423556019855393e-01
5.550000000000000000e+02,1.801801801801801872e+01,1.892066803765554543e-06,5.828038772298849146e-01
5.560000000000000000e+02,1.798561151079136522e+01,1.840141990826150863e-06,5.688541344760329466e-01
5.570000000000000000e+02,1.795332136445242455e+01,1.798265446575389288e-06,5.579100565345679330e-01
5.580000000000000000e+02,1.792114695340501740e+01,1.776486315489402158e-06,5.531338851360422249e-01
5.590000000000000000e+02,1.788908765652951871e+01,1.711839610890297666e-06,5.349173534506110883e-01
5.600000000000000000e+02,1.785714285714285765e+01,1.715828838304498127e-06,5.380839236922906332e-01
5.610000000000000000e+02,1.782531194295900079e+01,1.642597422435429909e-06,5.169599033863009341e-01
5.620000000000000000e+02,1.779359430604982251e+01,1.602568077529358794e-06,5.061615118791827905e-01
5.630000000000000000e+02,1.776198934280639463e+01,1.562964658622383739e-06,4.954113448788783347e-01
5.640000000000000000e+02,1.773049645390070950e+01,1.518630266964007191e-06,4.830702134001828019e-01
5.650000000000000000e+02,1.769911504424778670e+01,1.507023574965687333e-06,4.810796007184215406e-01
5.660000000000000000e+02,1.766784452296819907e+01,1.482655752811904386e-06,4.749776663478104677e-01
5.670000000000000000e+02,1.763668430335097170e+01,1.446091988716300783e-06,4.649026673604148008e-01
5.680000000000000000e+02,1.760563380281690016e+01,1.417155624721564842e-06,4.572084162701701149e-01
5.690000000000000000e+02,1.757469244288224886e+01,1.362840169801287686e-06,4.412344962150346883e-01
5.700000000000000000e+02,1.754385964912280826e+01,1.347966110022306127e-06,4.379541891462472303e-01
5.710000000000000000e+02,1.751313485113835355e+01,1.311443663355726675e-06,4.275844034441644848e-01
5.720000000000000000e+02,1.748251748251748339e+01,1.290883254079231489e-06,4.223563466026592494e-01
5.730000000000000000e+02,1.745200698080279267e+01,1.268025201934746612e-06,4.163294465260334309e-01
5.740000000000000000e+02,1.742160278745644675e+01,1.229658517676701644e-06,4.051429697700489330e-01
5.750000000000000000e+02,1.739130434782608603e+01,1.206886227923313083e-06,3.990267591071453568e-01
5.760000000000000000e+02,1.736111111111111072e+01,1.162810796223527439e-06,3.857927147278570335e-01
5.770000000000000000e+02,1.733102253032928886e+01,1.151158701332771179e-06,3.832541152760181591e-01
5.780000000000000000e+02,1.730103806228373742e+01,1.120484748972217697e-06,3.743360268756343867e-01
5.790000000000000000e+02,1.727115716753022312e+01,1.096152140824104413e-06,3.674751398420135762e-01
5.800000000000000000e+02,1.724137931034482918e+01,1.050793896179993495e-06,3.534870666749497792e-01
5.810000000000000000e+02,1.721170395869190983e+01,1.057277332710248096e-06,3.568955937070040774e-01
5.820000000000000000e+02,1.718213058419243922e+01,1.027446584429978384e-06,3.480208168644600142e-01
5.830000000000000000e+02,1.715265866209262313e+01,9.865071020238771508e-07,3.353029123997935956e-01
5.840000000000000000e+02,1.712328767123287676e+01,9.732978197717690835e-07,3.319490612200804436e-01
5.850000000000000000e+02,1.709401709401709368e+01,9.462228936849613167e-07,3.238211297913358711e-01
5.860000000000000000e+02,1.706484641638225241e+01,9.305605250784659439e-07,3.195507620698448958e-01
5.870000000000000000e+02,1.703577512776831426e+01,9.049748657202464109e-07,3.118262845063595745e-01
5.880000000000000000e+02,1.700680272108843383e+01,8.824422594046889376e-07,3.050991165356147783e-01
5.890000000000000000e+02,1.697792869269948923e+01,8.481945706320397671e-07,2.942565086382378792e-01
5.900000000000000000e+02,1.694915254237288238e+01,8.525982663275490779e-07,2.967894565086198200e-01
5.910000000000000000e+02,1.692047377326565183e+01,8.288389821985953072e-07,2.894977085413075746e-01
5.920000000000000000e+02,1.689189189189189122e+01,8.035169193478426347e-07,2.816037536223223170e-01
5.930000000000000000e+02,1.686340640809443414e+01,7.871004616594800850e-07,2.767830902420945205e-01
5.940000000000000000e+02,1.683501683501683388e+01,7.613363968816075775e-07,2.686268889301188789e-01
5.950000000000000000e+02,1.680672268907563094e+01,7.701493742277022588e-07,2.726521322109622947e-01
5.960000000000000000e+02,1.677852348993288700e+01,7.143794105743837873e-07,2.537589967065903007e-01
5.970000000000000000e+02,1.675041876046901024e+01,7.226315241704425925e-07,2.575523788980632611e-01
5.980000000000000000e+02,1.672240802675585414e+01,6.910345933877144551e-07,2.471167347338202314e-01
5.990000000000000000e+02,1.669449081803005086e+01,6.816651317163223252e-07,2.445821309249481545e-01
