# wavelength / nm, time resolution / fs
6.360000000000000000e+02,1.055787597747412718e+02
6.370000000000000000e+02,1.071814935422393233e+02
6.380000000000000000e+02,1.052619658162341665e+02
6.390000000000000000e+02,1.050536595097281491e+02
6.400000000000000000e+02,1.029684163989530816e+02
6.410000000000000000e+02,1.034007567738640745e+02
6.420000000000000000e+02,1.007604469567385763e+02
6.430000000000000000e+02,1.003281384703973060e+02
6.440000000000000000e+02,1.007498735097895235e+02
6.450000000000000000e+02,9.822972485547069255e+01
6.460000000000000000e+02,9.884975783689044704e+01
6.470000000000000000e+02,1.007916464675016783e+02
6.480000000000000000e+02,1.005705854088617315e+02
6.490000000000000000e+02,1.003012147967587424e+02
6.500000000000000000e+02,9.536715247793662797e+01
6.510000000000000000e+02,9.937091482240388984e+01
6.520000000000000000e+02,1.009697251240698250e+02
6.530000000000000000e+02,1.047082736338867903e+02
6.540000000000000000e+02,1.082261076904077015e+02
6.550000000000000000e+02,1.069656656361265163e+02
6.580000000000000000e+02,1.043200032520468739e+02
6.860000000000000000e+02,1.484170838816060041e+02
6.880000000000000000e+02,1.629139765270460032e+02
6.890000000000000000e+02,1.520149145699402027e+02
6.900000000000000000e+02,1.674357091112023568e+02
6.910000000000000000e+02,1.704735787900807793e+02
6.920000000000000000e+02,1.685685797415479783e+02
6.930000000000000000e+02,1.640401422118902417e+02
6.940000000000000000e+02,1.647130374476968484e+02
6.950000000000000000e+02,1.706328917151377311e+02
6.960000000000000000e+02,1.516673292226539616e+02
6.970000000000000000e+02,1.406637152954365320e+02
6.980000000000000000e+02,1.440708923942505635e+02
