# wavenlength / nm,    wavenumber / 10^3 cm-1,  norm. absorbance
6.019868774000000258e+02,1.661165778760877743e+01,6.858263299553282732e-02
6.009494018999999980e+02,1.664033605555369988e+01,7.921319840272997292e-02
6.000598754999999755e+02,1.666500362429248838e+01,8.723941599730290763e-02
5.990219115999999531e+02,1.669388015087760735e+01,9.345805877984898757e-02
5.979835815000000139e+02,1.672286716453936606e+01,1.015764100654773933e-01
5.969450073000000430e+02,1.675196186869925796e+01,1.114186581662470477e-01
5.960546265000000403e+02,1.677698579192220762e+01,1.247631445448783155e-01
5.950155029000000013e+02,1.680628479638223638e+01,1.388774079624789104e-01
5.939761353000000099e+02,1.683569323024955011e+01,1.517763927714104177e-01
5.929364623999999822e+02,1.686521344888032203e+01,1.677214566710505117e-01
5.920451050000000350e+02,1.689060498186197989e+01,1.834699766241975893e-01
5.910049437999999782e+02,1.692033223225297789e+01,2.021262669029893488e-01
5.899644775000000436e+02,1.695017307207280055e+01,2.189186474753243572e-01
5.890724486999999954e+02,1.697584061530732313e+01,2.378223169148632465e-01
5.880314941000000317e+02,1.700589186180461709e+01,2.544420428321350625e-01
5.869902343999999630e+02,1.703605854741627113e+01,2.739990690405680884e-01
5.859486693999999716e+02,1.706634134051333618e+01,2.999720661352165418e-01
5.850557251000000178e+02,1.709238893148299709e+01,3.230286762438014381e-01
5.840136718999999630e+02,1.712288681096542931e+01,3.460815260469399246e-01
5.829713745000000245e+02,1.715350090487161694e+01,3.740476322836911449e-01
5.819287719999999808e+02,1.718423367456387041e+01,3.982982658989697167e-01
5.810349121000000423e+02,1.721066977517339325e+01,4.224820978731420595e-01
5.799918212999999696e+02,1.724162243803005978e+01,4.545995964369244913e-01
5.789484253000000535e+02,1.727269574110714601e+01,4.751962101018447626e-01
5.780538940000000139e+02,1.729942502558420614e+01,5.041734699330719938e-01
5.770100098000000344e+02,1.733072187684602383e+01,5.302637016833755546e-01
5.759658812999999782e+02,1.736213953755250117e+01,5.585244828189656063e-01
5.750706787000000304e+02,1.738916688050574422e+01,5.815348828749608012e-01
5.740260009999999511e+02,1.742081366101742290e+01,6.078247154730482826e-01
5.729810790999999881e+02,1.745258327850428515e+01,6.378900648820537977e-01
5.719359130999999934e+02,1.748447644386959965e+01,6.656726580973010288e-01
5.710397948999999471e+02,1.751191438724720228e+01,6.820109806804073305e-01
5.699940795999999636e+02,1.754404187323773101e+01,7.137811186669842378e-01
5.689481200999999828e+02,1.757629500250808618e+01,7.326957476301571015e-01
5.680513915999999881e+02,1.760404102141803406e+01,7.500555597625911952e-01
5.670048828000000185e+02,1.763653242387915299e+01,7.726906482781168428e-01
5.659581908999999769e+02,1.766914970184947009e+01,7.905174681938926806e-01
5.650607300000000350e+02,1.769721282878744617e+01,8.060293575588531878e-01
5.640135497999999643e+02,1.773007049838787452e+01,8.270882334716294082e-01
5.629660033999999769e+02,1.776306196041251084e+01,8.430765413697167698e-01
5.620679321000000073e+02,1.779144375420595026e+01,8.516632627140817702e-01
